activity,note,additional_note
2023-01-23 11:10:00+01:00,toilet flush,UG
2023-01-23 11:16:00+01:00,toilet flush,UG
2023-01-23 11:22:00+01:00,toilet flush,UG
2023-01-23 11:28:00+01:00,toilet flush,UG
2023-01-23 11:34:00+01:00,toilet flush,UG
2023-01-23 11:40:00+01:00,toilet flush,UG
2023-01-23 11:46:00+01:00,toilet flush,UG
2023-01-23 11:52:00+01:00,toilet flush,UG
2023-01-23 11:59:00+01:00,toilet flush,UG
2023-01-23 12:06:00+01:00,toilet flush,UG
2023-01-23 12:12:00+01:00,water tap (30sec),WC UG
2023-01-23 12:18:00+01:00,water tap (30sec),WC UG
2023-01-23 12:24:00+01:00,water tap (30sec),WC UG
2023-01-23 12:30:00+01:00,water tap (30sec),WC UG
2023-01-23 12:36:00+01:00,water tap (30sec),WC UG
2023-01-23 12:42:00+01:00,water tap (30sec),Küche UG
2023-01-23 12:48:00+01:00,water tap (30sec),Küche UG
2023-01-23 12:54:00+01:00,water tap (30sec),Küche UG
2023-01-23 13:00:00+01:00,water tap (30sec),Küche UG
2023-01-23 13:06:00+01:00,water tap (30sec),Küche UG
2023-01-23 13:12:00+01:00,toilet flush,WC EG
2023-01-23 13:18:00+01:00,toilet flush,WC EG
2023-01-23 13:24:00+01:00,toilet flush,WC EG
2023-01-23 13:30:00+01:00,toilet flush,WC EG
2023-01-23 13:37:00+01:00,toilet flush,WC EG
