absent_from,absent_to,dishwasher,washing_machine
2022-11-09 15:40:00+01:00,2022-11-09 16:45:00+01:00,False,True
2022-11-15 11:46:00+01:00,2022-11-15 12:05:00+01:00,False,False
2022-11-18 09:50:00+01:00,2022-11-18 10:30:00+01:00,False,False
2022-11-21 06:22:00+01:00,2022-11-21 15:05:00+01:00,False,False
2022-11-25 13:30:00+01:00,2022-11-25 15:15:00+01:00,False,False
2022-11-28 07:20:00+01:00,2022-11-28 14:20:00+01:00,False,False
2022-11-29 09:10:00+01:00,2022-11-29 10:55:00+01:00,False,False
2022-11-30 07:55:00+01:00,2022-11-30 13:15:00+01:00,False,False
2022-12-03 11:40:00+01:00,2022-12-03 12:40:00+01:00,False,False
2022-12-03 14:30:00+01:00,2022-12-03 17:20:00+01:00,True,False
